ID,X,Y,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster
1229,235063.5387,8460450.507,0,1328.160034,9.093626985,1,,,2421.87375,
1225,235086.9069,8456688.775,0,1518.23999,2.418665518,1,,,400.7084554,
6169,239589.1145,8531393.521,31,348.7489929,1.247445919,1,,,4262.317828,9
6099,239114.6296,8528402.433,62,338.6830139,2.636431314,1,,,1419.032062,9
6095,239063.5387,8524450.507,138,369.3630066,4.02656942,1,,,173.7014114,9
6024,239063.5387,8520450.507,10,648.0059814,13.42492015,5,,,1793.345568,9
6020,239063.5387,8516450.507,29,808.5949707,12.94197171,5,,,694.0701188,9
6016,239063.5387,8512450.507,9,467.8630066,4.322626832,1,,,1583.967415,9
6012,239063.5387,8508450.507,0,804.1430054,4.218320258,5,,,1971.657653,9
6008,239063.5387,8504450.507,0,621.5319824,23.2216312,1,,,2441.413624,9
6004,239063.5387,8500450.507,0,613.1099854,21.398236,1,,,3670.588897,9
6000,239063.5387,8496450.507,0,766.6799927,34.46005772,5,,,4196.479843,
5996,239063.5387,8492450.507,0,787.8439941,8.159589902,5,,,1634.325189,
5927,239063.5387,8488450.507,0,836.8579712,7.145600714,5,,,227.2258434,
5923,239063.5387,8484450.507,7,755.7940063,1.542031685,5,,,2159.464699,3
5919,239063.5387,8480450.507,8,770.4039917,5.703835363,5,,,7.069664215,3
5915,239063.5387,8476450.507,26,783.1199951,1.296788279,1,,,178.8222238,3
7081,239063.5387,8472450.507,5,799.6240234,3.396125195,5,,,2252.316902,3
5909,239063.5387,8468450.507,0,829.3959961,1.403171246,1,,,259.1097058,3
1297,239063.5387,8464450.507,0,1279.97998,18.58149919,1,,,2540.698358,
1281,239063.5387,8460450.507,0,1398.98999,11.85108414,1,,,23.80636955,
1277,239085.376,8456565.367,0,1414.199951,2.603424006,1,,,3155.995445,
6303,241910.0349,8531390.821,25,479.3200073,33.78295503,5,,,4773.444381,9
6367,242516.331,8528033.986,9,466.7070007,12.42685953,1,,,2909.395315,9
6363,243063.5387,8524450.507,60,589.947998,22.52474618,1,,,1831.602213,9
6292,243063.5387,8520450.507,35,801.1300049,21.51710468,1,,,518.9325729,9
6288,243063.5387,8516450.507,10,799.9719849,23.46339521,1,,,2271.797261,9
6284,243063.5387,8512450.507,53,543.414978,36.90912565,1,,,1453.442493,9
6280,243063.5387,8508450.507,30,427.0130005,3.283537599,1,,,3549.130871,9
6276,243063.5387,8504450.507,52,381.3829956,1.53197628,1,,,4810.779486,9
6272,243063.5387,8500450.507,0,597.3699951,30.08347398,1,,,6661.811718,9
6268,243063.5387,8496450.507,0,827.8519897,33.33424246,5,,,6935.986534,
6197,243063.5387,8492450.507,0,538.552002,24.46746719,5,,,4365.62224,
6193,243063.5387,8488450.507,0,1048.609985,18.5227006,1,,,4220.253269,
6189,243063.5387,8484450.507,0,688.9970093,0.707074942,5,,,547.151025,
6184,243063.5387,8480450.507,0,1019.02002,11.49494402,1,,,1668.897951,
6180,243063.5387,8476450.507,8,1094.040039,28.2239749,5,,,2031.538679,3
6176,243063.5387,8472450.507,8,858.1099854,3.341613837,1,,,552.5912902,3
6172,243063.5387,8468450.507,0,832.8720093,6.266327305,5,,,2235.86145,
1346,243063.5387,8464450.507,0,1239.130005,4.240473174,1,,,151.5678309,
1329,243063.5387,8460450.507,0,1249.01001,2.638311637,1,,,1113.484947,
1325,243071.9063,8456462.09,0,1248.119995,16.824941,5,,,4971.72938,
1349,244311.3245,8454404.075,0,1219.140015,2.891802149,1,,,6981.93061,
6541,245352.3163,8526722.781,0,346.1839905,1.628612447,5,,,4796.661375,
6487,245450.1775,8524364.653,44,345.4419861,2.200658323,1,,,2961.557699,9
6538,246491.3395,8520290.325,24,435.5369873,24.63131964,1,,,1152.669727,9
6534,247049.3401,8516436.439,54,409.9219971,12.97504364,1,,,1412.585273,9
6530,247063.5387,8512450.507,67,417.4039917,7.18915897,1,,,1089.532494,9
6526,247063.5387,8508450.507,89,369.1040039,2.972090496,1,,,76.25893639,9
6522,247063.5387,8504450.507,50,496.6520081,12.75419447,1,,,1368.935921,9
6518,247063.5387,8500450.507,0,530.2700195,6.647002014,1,,,2967.728074,9
6514,247063.5387,8496450.507,0,558.7219849,29.90877442,1,,,4956.288402,
6455,246985.8026,8492501.215,0,469.7269897,17.72503937,5,,,7765.128684,
6450,247047.3813,8488434.632,0,667.0310059,32.62057963,5,,,6177.838891,
6446,246715.4698,8484629.952,0,998.2369995,15.07240281,1,,,4052.657091,
6442,246870.1478,8480314.482,0,1157.329956,3.51004147,1,,,4783.070616,
6438,246924.873,8476614.884,0,845.6669922,7.030656103,1,,,2199.411761,
6310,245769.8893,8472502.141,0,854.0040283,2.567588861,1,,,1642.150281,
6434,247000.6993,8468383.617,0,968.8670044,11.25087071,5,,,724.6267525,
1385,247063.5387,8464450.507,0,1173.170044,12.32191335,1,,,222.28837,
1381,246784.2633,8460604.552,0,1198.339966,6.971497245,1,,,1930.983468,
1377,246945.3652,8456325.059,0,1286.959961,9.007923895,5,,,5429.875556,
1388,247376.7746,8454309.464,0,1184.930054,16.12974819,5,,,7473.50605,
6667,250296.7358,8515501.764,78,364.3869934,2.238617446,1,,,2915.073014,9
6664,251050.3742,8512436.725,118,352.8359985,2.897669033,1,,,362.6887239,9
6660,251063.5387,8508450.507,76,399.4360046,2.683126351,1,,,2546.628837,9
6656,251063.5387,8504450.507,38,388.9679871,2.586104066,1,,,422.8464559,9
6651,251060.3048,8500453.905,0,561.382019,18.62591108,5,,,596.5169174,9
6623,250419.1823,8496643.685,0,708.2990112,11.3645562,5,,,2392.463863,
6592,249593.7249,8493666.31,0,903.6699829,11.02469562,1,,,5349.988756,
6590,249551.2953,8488359.065,0,1048.650024,13.59222407,1,,,8093.357023,
6550,249162.9499,8486276.762,0,1098.369995,15.62108893,1,,,6832.803709,
6620,250819.4149,8479862.773,0,747.3709717,2.71646005,1,,,6756.674747,
6545,249425.395,8477531.559,0,743.3880005,4.795210703,1,,,4061.943768,
6542,249432.754,8467572.125,0,1007.719971,2.777651259,1,,,126.4982359,
1415,249676.8099,8464519.355,0,1090.650024,10.4640041,1,,,2064.131864,
1413,249317.1871,8462197.57,0,1190.089966,13.6728565,1,,,2963.171949,
1419,251021.8794,8455753.64,0,1129.380005,15.74481091,1,,,8236.909942,
1418,251225.0249,8454190.692,0,1110.52002,14.02633917,5,,,9509.010122,
6728,254543.0274,8511843.612,16,408.4710083,16.02033182,5,,,3883.158903,9
6724,254753.4438,8508574.243,0,812.3430176,13.2276125,5,,,4702.803887,9
6720,254396.7976,8504535.882,0,921.7630005,8.015899308,5,,,3680.259776,9
6705,253792.3472,8501160.575,0,795.6569824,15.78142449,5,,,2960.886638,9
6669,253223.1634,8481103.695,0,680.3690186,1.922798042,1,,,9257.801899,
1429,253670.569,8455371.663,0,1256.199951,6.302407215,1,,,10538.12903,
1428,254236.7235,8454088.822,0,1170.359985,14.1187576,1,,,11758.84505,
